Entity,Code,Year,Total polio cases,Estimated polio cases
India,IND,1981,38090,266630.0
India,IND,1982,26297,184079.0
India,IND,1983,24663,172641.0
India,IND,1984,23107,161749.0
India,IND,1985,22570,157990.0
India,IND,1986,20150,141050.0
India,IND,1987,28264,197848.0
India,IND,1988,23800,166600.0
India,IND,1989,13915,97405.0
India,IND,1990,10408,72856.0
India,IND,1991,5896,41272.0
India,IND,1992,9395,65765.0
India,IND,1993,4237,29659.0
India,IND,1994,4791,33537.0
India,IND,1995,3263,22841.0
India,IND,1996,1005,7035.0
India,IND,1997,2275,15925.0
India,IND,1998,4322,30254.0
India,IND,1999,2817,19719.0
India,IND,2000,265,1855.0
India,IND,2001,268,536.0
India,IND,2002,1600,3200.0
India,IND,2003,225,450.0
India,IND,2004,134,148.74
India,IND,2005,66,73.26
India,IND,2006,676,750.36
India,IND,2007,874,970.14
India,IND,2008,559,620.49
India,IND,2009,756,839.16
India,IND,2010,44,48.84
India,IND,2011,1,1.11
India,IND,2012,0,0.0
India,IND,2013,0,0.0
India,IND,2014,0,0.0
India,IND,2015,0,0.0
India,IND,2016,0,0.0
India,IND,2017,0,0.0
India,IND,2018,0,0.0
India,IND,2019,0,0.0
India,IND,2020,0,0.0
India,IND,2021,0,0.0
India,IND,2022,0,0.0
India,IND,2023,0,0.0
